title,author,pages,lang,ISBN,rack_no,copy_no,date_of_purchase
Teacher,Catharina Jeckells,763,CN,98-771-3304,1,6,3/8/2019
Environmental Tech,Meredith Vasiltsov,665,SY,73-087-8219,2,7,4/10/2019
Senior Financial Analyst,Morgen Hansod,1203,MA,83-419-4268,3,8,4/23/2019
Nuclear Power Engineer,Jaimie O'Brogane,1321,CN,21-796-8738,4,9,11/9/2019
Junior Executive,Araldo Smalcombe,428,PL,87-030-5825,5,10,12/1/2018
Programmer II,Mariel Jirieck,1253,IL,75-899-4548,6,11,5/5/2019
Health Coach IV,Carolan Collingridge,516,JP,04-310-4377,7,12,3/12/2019
Product Engineer,Muriel Dowty,1314,GR,50-040-7178,8,13,3/22/2019
Professor,Valentino Cade,1703,PT,84-964-9663,9,14,3/17/2019
Software Consultant,Lindsey Aslin,614,AL,75-638-1423,10,15,10/17/2019
Geological Engineer,Jorgan Stockdale,258,ML,14-136-4261,11,16,1/10/2019
VP Sales,Ferrel Christoforou,1852,FR,91-346-1450,12,17,5/19/2019
Design Engineer,Ogdan Isson,1980,CN,73-113-5599,13,18,2/13/2019
Staff Scientist,Marcellus Ledwitch,1377,CN,82-933-7510,14,19,6/9/2019
Speech Pathologist,Riannon Nutting,1734,ID,88-421-2496,15,20,4/6/2019
Statistician IV,Antony Macourek,1017,BO,79-549-1570,16,21,9/1/2019
Operator,Blane Geraldez,1596,ID,51-680-9087,17,22,9/8/2019
Pharmacist,Goran Baythorp,743,FR,86-954-6136,18,23,10/28/2019
Social Worker,Ansel Willoughey,679,ID,36-991-3955,19,24,12/5/2018
Assistant Professor,Durante Sandiford,222,PH,80-195-7908,20,25,4/19/2019
Accounting Assistant II,Putnam Clapton,552,PL,42-841-5234,21,26,8/2/2019
Editor,Delmer D'Antonio,1724,MY,05-741-9387,22,27,3/8/2019
Data Coordiator,Rafaela Newbury,1392,CN,22-350-2941,23,28,3/1/2019
